node,lat,lon,REGION,node_name
MPSLAKE_RDUN5,39.7246,-94.8773,SPP,SETTLEMENTLOCATION
EDE.KINGSPOINT,37.269858,-94.05271,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LRSE,42.108889,-104.8825,SPP,SETTLEMENTLOCATION
AECC_HYDRO13,35.351361,-94.29435,SPP,SETTLEMENTLOCATION
HARRISON,32.3958,-94.4367,SPP,SETTLEMENTLOCATION
HARRISON,32.3958,-94.4367,SPP,SETTLEMENTLOCATION
HARRISON,32.3958,-94.4367,SPP,SETTLEMENTLOCATION
WR.LEC.5,39.0072,-95.26917,SPP,SETTLEMENTLOCATION
WR.LEC.4,39.0072,-95.26917,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LOS2,47.280769,-101.3212,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LOS1,47.280769,-101.3212,SPP,SETTLEMENTLOCATION
CSWS.HCPP.RBPW,35.290759,-97.854,SPP,SETTLEMENTLOCATION
KCPL.HAW10,39.133772,-94.4863,SPP,SETTLEMENTLOCATION
CSWLIEBERMAN3,32.7047,-93.9597,SPP,SETTLEMENTLOCATION
CSWLIEBERMAN4,32.7047,-93.9597,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LINDAHL,48.533,-102.933,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LCS1,47.796667,-103.5786,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LCS2,47.796667,-103.5786,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LCS3,47.796667,-103.5786,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LCS4,47.796667,-103.5786,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LCS5,47.796667,-103.5786,SPP,SETTLEMENTLOCATION
WAUE.BEPM.LCS6,47.796667,-103.5786,SPP,SETTLEMENTLOCATION
SPS.BONITA.WILDCAT.WND,33.5296,-102.9619,SPP,SETTLEMENTLOCATION
WFEC_LC_GAS_PLANT,32.978056,-103.3239,SPP,SETTLEMENTLOCATION
WFEC_LC_GAS_PLANT,32.978056,-103.3239,SPP,SETTLEMENTLOCATION
WFEC_WILDCAT_WIND_FARM,32.952778,-103.2853,SPP,SETTLEMENTLOCATION
WFEC_LC_GAS_PLANT,32.978056,-103.3239,SPP,SETTLEMENTLOCATION
WFEC_LC_GAS_PLANT,32.978056,-103.3239,SPP,SETTLEMENTLOCATION
WFEC_LC_GAS_PLANT,32.978056,-103.3239,SPP,SETTLEMENTLOCATION
SPRM_MCCT1,37.248431,-93.17084,SPP,SETTLEMENTLOCATION
SPRM_MCCT2,37.248431,-93.17084,SPP,SETTLEMENTLOCATION
NPPD.LBLU.LBLU,40.284421,-98.40759,SPP,SETTLEMENTLOCATION
NEE_MAJESTIC2,35.386038,-101.5786,SPP,SETTLEMENTLOCATION
SPS.MAMMOTHWND,35.978889,-98.71028,SPP,SETTLEMENTLOCATION
OKGE.TRWE.TRWE,35.727711,-97.79318,SPP,SETTLEMENTLOCATION
OKGE.TRWE.TRWE2,35.727711,-97.79318,SPP,SETTLEMENTLOCATION
OKGE.TRWE.TRWE3,35.727711,-97.79318,SPP,SETTLEMENTLOCATION
CSWS.7CBY.7CBYWIND,35.292,-99.101,SPP,SETTLEMENTLOCATION
OKGEMCC,35.29774,-97.58985,SPP,SETTLEMENTLOCATION
OKGEMCC,35.29774,-97.58985,SPP,SETTLEMENTLOCATION
OKGEMCC,35.29774,-97.58985,SPP,SETTLEMENTLOCATION
OPPD_INV_PRZ1,41.987656,-98.2104,SPP,SETTLEMENTLOCATION
NPPD.LES.PRBRZ,41.987656,-98.2104,SPP,SETTLEMENTLOCATION
NPPD_GRIS_PB3,41.987656,-98.2104,SPP,SETTLEMENTLOCATION
MINCOIII,35.372359,-98.18273,SPP,SETTLEMENTLOCATION
OKGE_MINCO2,35.325278,-98.07139,SPP,SETTLEMENTLOCATION
OKGE.MNCI.MNCI,35.280278,-97.97556,SPP,SETTLEMENTLOCATION
OKGE.WFEC.MINCO4WIND,35.381047,-98.26956,SPP,SETTLEMENTLOCATION
OKGE.GDSM.MINCO4,35.381047,-98.26956,SPP,SETTLEMENTLOCATION
SECI.SUEZ.SLFR,39.306,-101.0744,SPP,SETTLEMENTLOCATION
SECI.SUEZ.EFRK,39.306,-101.0744,SPP,SETTLEMENTLOCATION
WFEC_MOORELAND_PLANT,36.43725,-99.22543,SPP,SETTLEMENTLOCATION
MSTNG,32.9728,-102.7417,SPP,SETTLEMENTLOCATION
MSTNG,32.9728,-102.7417,SPP,SETTLEMENTLOCATION
MSTNG,32.9728,-102.7417,SPP,SETTLEMENTLOCATION
OKGE.OKGE.MT10,35.46988,-97.67498,SPP,SETTLEMENTLOCATION
OKGE.OKGE.MT11,35.46988,-97.67498,SPP,SETTLEMENTLOCATION
